ID_Partido;Ronda_Global;Equipo_Local;Rival;Jornada_Eq;Fecha;Ubicacion;Estado;Visibilidad;Categoria;Pabellon
RFEVB_2731;12;VALCYL VCV;Arona Spring In Motión;12;19/12/2026 13:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Masc.;PAB. JESÚS DOMÍNGUEZ GRILLO
RFEVB_2741;13;VALCYL VCV;CV Las Rozas;13;17/01/2027 10:00;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Masc.;PILAR FDEZ VALDERRAMA
RFEVB_2742;14;VALCYL VCV;Chamartín Vergara;14;24/01/2027 12:15;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Masc.;PILAR FDEZ VALDERRAMA
RFEVB_2753;15;VALCYL VCV;CD Acenvoley;15;30/01/2027 15:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Masc.;PABELLÓN PABLOS ABRIL
RFEVB_2755;16;VALCYL VCV;CV Oleiros;16;07/02/2027 12:15;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Masc.;PILAR FDEZ VALDERRAMA
RFEVB_2764;17;VALCYL VCV;Moreno Sáez Sporting;17;13/02/2027 19:15;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Masc.;Pol. Municipal de Los Pajaritos
RFEVB_2770;18;VALCYL VCV;Galdakao Boleibol Taldea;18;21/02/2027 10:00;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Masc.;PILAR FDEZ VALDERRAMA
RFEVB_2775;19;VALCYL VCV;RGC Covadonga;19;27/02/2027 17:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Masc.;POLIDEPORTIVO BRAULIO GARCÍA
RFEVB_2781;20;VALCYL VCV;CyL Palencia 2028;20;07/03/2027 12:15;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Masc.;PILAR FDEZ VALDERRAMA
RFEVB_2786;21;VALCYL VCV;Jatorkide BKK;21;13/03/2027 19:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Masc.;CENTRO CIVICO IPARRALDE
RFEVB_2794;22;VALCYL VCV;Rio Duero Soria;22;21/03/2027 10:00;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Masc.;PILAR FDEZ VALDERRAMA
RFEVB_2533;1;Valladolid CV Vacceas;V-Valley CV Alcalá;1;04/10/2026 12:15;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;PILAR FDEZ VALDERRAMA
RFEVB_2543;2;Valladolid CV Vacceas;Club Voleibol Las Rozas;2;10/10/2026 16:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;C. DEPORTIVO Y CULTURAL - LA MARAZUELA
RFEVB_2544;3;Valladolid CV Vacceas;Emalsa Gran Canaria;3;18/10/2026 17:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;CARLOS GARCÍA SAN ROMAN
RFEVB_2555;4;Valladolid CV Vacceas;Vóley Playa Madrid;4;25/10/2026 12:15;LOCAL;ABIERTO;MOSTRAR;1ª Nacional Fem.;PILAR FDEZ VALDERRAMA
RFEVB_2557;5;Valladolid CV Vacceas;Club Voleibol Sanse;5;31/10/2026 16:00;VISITANTE;ABIERTO;MOSTRAR;1ª Nacional Fem.;Pol. Mun. Eduardo López Mateo
